source_id,latitude,longitude,fish,date,waterbody,source_url,original_source_url,included,inclusion_reason
16563,60.483772,32.819193,Окунь,2018-12-23,Загубская губа; Волго-Балтийский канал; Свирь,https://ru.fishermap.org/location/16563/,https://vk.com/wall-114375980_109100,false,"соседняя река/канал, верхний Волхов или неоднозначная внутренняя точка"
16564,59.978596,31.52809,Окунь,2018-12-26,Ладожское озеро; бухта Петрокрепость,https://ru.fishermap.org/location/16564/,https://vk.com/wall-114375980_109435,true,Ладожское озеро
16566,60.480738,32.827686,Щука; Окунь,2019-01-02,Загубская губа; Волго-Балтийский канал; Свирь,https://ru.fishermap.org/location/16566/,https://vk.com/wall-114375980_109896,false,"соседняя река/канал, верхний Волхов или неоднозначная внутренняя точка"
16567,60.184477,32.214768,Окунь,2019-01-07,Ладожское озеро,https://ru.fishermap.org/location/16567/,https://vk.com/wall-114375980_110444,true,Ладожское озеро
16574,60.187433,31.633171,Налим; Плотва,2019-02-01,Ладожское озеро,https://ru.fishermap.org/location/16574/,https://vk.com/wall-114375980_113829,true,Ладожское озеро
16590,60.254021,31.691589,Щука; Судак,2018-08-27,Ладожское озеро,https://ru.fishermap.org/location/16590/,https://vk.com/wall-114375980_120331,true,Ладожское озеро
16595,60.226807,31.788919,Щука; Язь; Плотва,2019-04-22,Ладожское озеро,https://ru.fishermap.org/location/16595/,https://vk.com/wall-114375980_121684,true,Ладожское озеро
16600,59.888722,31.727221,Карась,2019-04-28,,https://ru.fishermap.org/location/16600/,https://vk.com/wall-114375980_122157,false,"соседняя река/канал, верхний Волхов или неоднозначная внутренняя точка"
16604,60.064805,32.345053,Язь; Лещ,2019-05-09,Волхов,https://ru.fishermap.org/location/16604/,https://vk.com/wall-114375980_122793,true,нижний Волхов
16626,60.148447,32.242821,Окунь; Судак,2019-08-13,Ладожское озеро,https://ru.fishermap.org/location/16626/,https://vk.com/wall-114375980_127858,true,Ладожское озеро
16632,60.037685,32.340819,Лещ,2019-09-01,Волхов,https://ru.fishermap.org/location/16632/,https://vk.com/wall-114375980_128600,false,"соседняя река/канал, верхний Волхов или неоднозначная внутренняя точка"
16637,60.225864,31.982064,Щука,2019-09-11,Ладожское озеро,https://ru.fishermap.org/location/16637/,https://vk.com/wall-114375980_129013,true,Ладожское озеро
