record_id,latitude,longitude,fish,source,source_url,source_id,original_source_url,date,sector,confidence_class,reports_count,analysis_weight,duplicate_of,comment,depth,method,catch,nearest_landmark,landmark_distance_km,distance_from_novaya_ladoga_km,waterbody,context_reports_count
fishermap-10629,60.13500888,31.60938263,Окунь,FisherMap,https://ru.fishermap.org/location/10629/,10629,https://vk.com/wall-165396959_263298,2019-10-01,Шлиссельбург / бухта Петрокрепость,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Шлиссельбург / бухта Петрокрепость,1.669,38.084,Ладожское озеро,
fishermap-10705,60.113432,32.287226,Окунь,FisherMap,https://ru.fishermap.org/location/10705/,10705,https://vk.com/wall-114375980_129571,2019-09-29,Новая Ладога / устье Волхова,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. целевая прибрежная зона; водоём в метаданных не указан.,,,,Новая Ладога / устье Волхова,1.885,1.144,,
fishermap-11075,60.121404,31.563588,Щука,FisherMap,https://ru.fishermap.org/location/11075/,11075,https://vk.com/wall-150246881_299609,2019-07-05,Шлиссельбург / бухта Петрокрепость,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Шлиссельбург / бухта Петрокрепость,2.576,40.517,Ладожское озеро,
fishermap-11480,60.104283,32.272784,Карась,FisherMap,https://ru.fishermap.org/location/11480/,11480,https://vk.com/wall-294312_1191671,2019-08-12,Новая Ладога / устье Волхова,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. целевая прибрежная зона; водоём в метаданных не указан.,,,,Новая Ладога / устье Волхова,3.028,1.176,,
fishermap-11621,60.10201304,32.3260206,Судак,FisherMap,https://ru.fishermap.org/location/11621/,11621,https://vk.com/wall-161376023_215999,2019-08-17,Новая Ладога / устье Волхова,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Новая Ладога / устье Волхова,1.809,1.786,Волхов,
fishermap-11684,60.110836,32.325533,Щука,FisherMap,https://ru.fishermap.org/location/11684/,11684,https://vk.com/wall-56433000_2005158,2019-10-23,Новая Ладога / устье Волхова,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Новая Ладога / устье Волхова,0.854,1.92,Волхов,
fishermap-13142,60.191962,32.223892,Щука,FisherMap,https://ru.fishermap.org/location/13142/,13142,https://vk.com/wall-52321266_491861,2019-09-09,Креницы / Волховская губа,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,4.077,10.552,Ладожское озеро,
fishermap-13175,60.12697277,31.60388947,Окунь,FisherMap,https://ru.fishermap.org/location/13175/,13175,https://vk.com/wall-52321266_507697,2019-11-26,Шлиссельбург / бухта Петрокрепость,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Шлиссельбург / бухта Петрокрепость,0.846,38.321,Ладожское озеро,
fishermap-13400,60.453156,32.811084,Плотва,FisherMap,https://ru.fishermap.org/location/13400/,13400,https://vk.com/wall-10618634_376552,2019-05-15,Свирица / Загубская губа,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Загубская губа без речной привязки.,,,,Свирица / Загубская губа,0.602,48.192,Загубская губа,
fishermap-13409,60.267281,32.048983,Щука,FisherMap,https://ru.fishermap.org/location/13409/,13409,https://vk.com/wall-10618634_379666,2019-06-03,о. Птинов,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,о. Птинов,2.244,22.677,Ладожское озеро,
fishermap-13412,60.207024,32.204395,Щука,FisherMap,https://ru.fishermap.org/location/13412/,13412,https://vk.com/wall-10618634_380875,2019-06-08,Креницы / Волховская губа,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,6.066,12.512,Ладожское озеро,
fishermap-13423,60.1155564,32.33851433,Щука,FisherMap,https://ru.fishermap.org/location/13423/,13423,https://vk.com/wall-10618634_388731,2019-07-24,Новая Ладога / устье Волхова,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Новая Ладога / устье Волхова,1.061,2.797,Волхов,
fishermap-13441,60.068341,32.338351,Лещ,FisherMap,https://ru.fishermap.org/location/13441/,13441,https://vk.com/wall-10618634_393580,2019-09-17,Нижний Волхов,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Нижний Волхов,0.798,4.639,Волхов,
