lat,lon,kind,cls,prec,fish,date,season,sector,dist,zone,title,comment,depth,method,catch,src,url,orig,sid
59.911673,31.157517,fishing,B,100,Окунь,2013-08-04,open_water,Шлиссельбург / бухта Петрокрепость,66.7,ext,"Староладожский канал — 2,1 км на З от «урочище Липка»","Фото улова (окунь) из поста ВК; точка на Староладожском канале в ~0,4 км от уреза Ладоги, а не в самом озере; снасть и глубина не указаны.",,,,FisherMap,https://ru.fishermap.org/location/6193/,https://vk.com/wall-1707795_1532,6193
60.114413,32.24307,fishing,B,100,Карась,2019-08-12,open_water,Новая Ладога / устье Волхова,3.1,core,"Новоладожский канал — 4,1 км на З от «Новая Ладога»","Фото улова (карась) из поста ВК; точка на Новоладожском канале в ~0,6 км от уреза Ладоги, а не в самом озере; снасть и глубина не указаны.",,,,FisherMap,https://ru.fishermap.org/location/6330/,https://vk.com/wall-178041076_8244,6330
59.90166,31.34714,fishing,B,100,Щука,2019-05-13,open_water,Шлиссельбург / бухта Петрокрепость,57.2,ext,"Р. Назия — 0,4 км на СВ от «Назия»","Фото улова (щука) из поста ВК; точка на р. Назия у пересечения с Ладожскими каналами, ~0,5 км от озера; снасть и глубина не указаны.",,,,FisherMap,https://ru.fishermap.org/location/7026/,https://vk.com/wall-61270517_13634,7026
60.118082,32.324377,fishing,B,100,Окунь; Судак,2018-09-08,open_water,Новая Ладога / устье Волхова,2.3,core,"Устье Волхова — 1,0 км на З от «Немятово-1»","Фото улова (окунь, судак) из поста ВК; снасть и глубина не указаны.",,,,FisherMap,https://ru.fishermap.org/location/7027/,https://vk.com/wall-61270517_12729,7027
60.099401,32.310595,fishing,B,100,Щука,2018-08-18,open_water,Новая Ладога / устье Волхова,1.0,core,"Волхов — 0,7 км на Ю от «Новая Ладога»",Фото улова (щука) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/7114/,https://vk.com/wall-55049510_6447,7114
59.903125,31.408314,fishing,B,100,Окунь,2017-12-23,,Кобона / южный берег,54.1,core,"Бухта Петрокрепость — 2,9 км на З от «Нижняя Шальдиха»",Фото улова (окунь) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/7891/,https://vk.com/wall-62316122_3810,7891
59.975496,31.524648,fishing,B,100,Окунь,2019-02-20,ice,Кобона / южный берег,45.0,core,"Бухта Петрокрепость — 4,3 км на СЗ от «Лаврово»",Фото улова (окунь) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/9093/,https://vk.com/wall-164158114_27317,9093
60.192721,31.636649,fishing,B,100,Плотва,2019-03-05,ice,Лигово,37.7,core,"Ладога — 5,2 км на ЮЗ от «Кивгода»",Фото улова (плотва) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/9097/,https://vk.com/wall-164158114_28896,9097
60.135523,31.571449,fishing,B,100,Щука,2019-03-19,ice,Кобона / южный берег,40.2,core,"Ладога — 1,6 км на В от «мыс Песоцкий нос»",Фото улова (щука) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/9101/,https://vk.com/wall-164158114_30830,9101
59.948412,31.032891,fishing,B,100,Плотва,2019-05-03,open_water,Шлиссельбург / бухта Петрокрепость,72.2,ext,"Новоладожский канал — 0,5 км на С от «Висячка»","Фото улова (плотва) из поста ВК; точка у начала Новоладожского канала у истока Невы, ~0,2 км от уреза Ладоги; снасть и глубина не указаны.",,,,FisherMap,https://ru.fishermap.org/location/9109/,https://vk.com/wall-164158114_40782,9109
60.132292,31.589045,fishing,B,100,Плотва,2019-04-22,,Кобона / южный берег,39.2,core,"Ладога — 1,6 км на ЮЗ от «Чёрное»",Фото улова (плотва) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/9118/,https://vk.com/wall-164158114_37960,9118
59.948443,31.032691,fishing,B,100,Язь,2019-05-09,open_water,Шлиссельбург / бухта Петрокрепость,72.2,ext,"Новоладожский канал — 0,5 км на С от «Висячка»","Фото улова (язь) из поста ВК; точка у начала Новоладожского канала у истока Невы, ~0,2 км от уреза Ладоги; снасть и глубина не указаны.",,,,FisherMap,https://ru.fishermap.org/location/9123/,https://vk.com/wall-164158114_42395,9123
60.080443,32.324443,fishing,B,100,Густера; Елец; Лещ,2019-05-26,open_water,Нижний Волхов,3.1,core,"Волхов — 0,5 км на С от «Юшково»","Фото улова (густера, елец, лещ) из поста ВК; снасть и глубина не указаны.",,,,FisherMap,https://ru.fishermap.org/location/9145/,https://vk.com/wall-164158114_46757,9145
60.288713,32.545015,fishing,B,100,Судак,2019-06-22,open_water,Вороново,24.8,core,"Ладога — 3,7 км на ЮЗ от «Заостровье»",Фото улова (судак) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/9173/,https://vk.com/wall-164158114_54707,9173
